rank,name,city_state,city,state,acceptance_rate,price,SAT_range,SAT_low,SAT_high,region
68,Virginia Tech,"Blacksburg, VA",Blacksburg,VA,66,20247,1170-1370,1170,1370,Southeast
69,Villanova University,"Villanova, PA",Villanova,PA,31,38303,1320-1460,1320,1460,Mid East
70,University of Washington,"Seattle, WA",Seattle,WA,56,9661,1200-1470,1200,1470,Far West
71,Wesleyan University,"Middletown, CT",Middletown,CT,21,22845,1300-1480,1300,1480,New England
72,University of Rochester,"Rochester, NY",Rochester,NY,35,36254,1330-1510,1330,1510,Mid East
73,Grinnell College,"Grinnell, IA",Grinnell,IA,19,32091,1370-1540,1370,1540,Plains
74,Vassar College,"Poughkeepsie, NY",Poughkeepsie,NY,25,26028,1360-1520,1360,1520,Mid East
75,Texas A&M University,"College Station, TX",College Station,TX,63,19906,1160-1380,1160,1380,Southwest
76,University of California - San Diego,"La Jolla, CA",La Jolla,CA,37,15222,1270-1480,1270,1480,Far West
77,Carleton College,"Northfield, MN",Northfield,MN,21,30843,1330-1520,1330,1520,Plains
78,The Cooper Union for the Advancement of Science and Art,"New York, NY",New York,NY,18,25005,1330-1500,1330,1500,Mid East
79,Purdue University,"West Lafayette, IN",West Lafayette,IN,67,12294,1170-1420,1170,1420,Great Lakes
80,The Ohio State University,"Columbus, OH",Columbus,OH,68,18884,1210-1430,1210,1430,Great Lakes
81,University of Richmond,"University Of Richmond, VA",University Of Richmond,VA,31,25700,1280-1460,1280,1460,Southeast
82,Southern Methodist University,"Dallas, TX",Dallas,TX,53,41444,1250-1450,1250,1450,Southwest
83,North Carolina State University,"Raleigh, NC",Raleigh,NC,46,14600,1230-1410,1230,1410,Southeast
84,Macalester College,"Saint Paul, MN",Saint Paul,MN,39,35589,1280-1450,1280,1450,Plains
85,University of California - Davis,"Davis, CA",Davis,CA,46,17026,1160-1400,1160,1400,Far West
86,Smith College,"Northampton, MA",Northampton,MA,37,28422,1240-1470,1240,1470,New England
87,Kenyon College,"Gambier, OH",Gambier,OH,37,40862,1280-1460,1280,1460,Great Lakes
88,College of the Holy Cross,"Worcester, MA",Worcester,MA,38,32061,1290-1430,1290,1430,New England
89,University of California - Santa Barbara,"Santa Barbara, CA",Santa Barbara,CA,37,17223,1230-1460,1230,1460,Far West
90,University of Pittsburgh,"Pittsburgh, PA",Pittsburgh,PA,64,22346,1250-1420,1250,1420,Mid East
91,Pitzer College,"Claremont, CA",Claremont,CA,17,30095,1300-1450,1300,1450,Far West
92,University of Minnesota Twin Cities,"Minneapolis, MN",Minneapolis,MN,70,17729,1240-1460,1240,1460,Plains
93,Lafayette College,"Easton, PA",Easton,PA,36,28735,1250-1440,1250,1440,Mid East
94,Bucknell University,"Lewisburg, PA",Lewisburg,PA,38,39359,1250-1430,1250,1430,Mid East
95,George Washington University,"Washington, DC",Washington,DC,43,40308,1270-1450,1270,1450,Mid East
96,Colorado School of Mines,"Golden, CO",Golden,CO,55,27675,1270-1440,1270,1440,Rocky Mountains
97,University of South Florida,"Tampa, FL",Tampa,FL,49,10004,1160-1320,1160,1320,Southeast
98,Brigham Young University,"Provo, UT",Provo,UT,69,13150,1200-1410,1200,1410,Rocky Mountains
99,Trinity University,"San Antonio, TX",San Antonio,TX,34,31141,1250-1420,1250,1420,Southwest
100,University of Maryland - College Park,"College Park, MD",College Park,MD,51,17643,1270-1480,1270,1480,Mid East
101,Colorado College,"Colorado Springs, CO",Colorado Springs,CO,14,27319,,,,Rocky Mountains
102,Scripps College,"Claremont, CA",Claremont,CA,35,40259,1320-1480,1320,1480,Far West
103,Michigan State University,"East Lansing, MI",East Lansing,MI,76,16655,1100-1300,1100,1300,Great Lakes
104,Texas Christian University,"Fort Worth, TX",Fort Worth,TX,48,40220,1110-1320,1110,1320,Southwest
105,Clemson University,"Clemson, SC",Clemson,SC,62,22935,1210-1390,1210,1390,Southeast
106,Santa Clara University,"Santa Clara, CA",Santa Clara,CA,51,48284,1270-1450,1270,1450,Far West
107,Reed College,"Portland, OR",Portland,OR,42,33980,1320-1520,1320,1520,Far West
108,Skidmore College,"Saratoga Springs, NY",Saratoga Springs,NY,32,26995,1220-1400,1220,1400,Mid East
109,Rose-Hulman Institute of Technology,"Terre Haute, IN",Terre Haute,IN,77,43606,1260-1460,1260,1460,Great Lakes
110,Rensselaer Polytechnic Institute,"Troy, NY",Troy,NY,57,40661,1300-1500,1300,1500,Mid East
111,Rutgers University–New Brunswick,"Piscataway, NJ",Piscataway,NJ,67,17835,1180-1410,1180,1410,Mid East
112,Oklahoma State University,"Stillwater, OK",Stillwater,OK,67,14763,1020-1250,1020,1250,Southwest
