,rank,name,city_state,city,state,acceptance,price,SAT_range,SAT_low,SAT_high
211,212,"University at Buffalo, SUNY","Buffalo, NY",Buffalo,NY,67,18119.0,1140-1310,1140.0,1310.0
212,213,DePaul University,"Chicago, IL",Chicago,IL,70,33319.0,1050-1260,1050.0,1260.0
213,214,University of Louisville,"Louisville, KY",Louisville,KY,65,17894.0,1050-1270,1050.0,1270.0
214,215,Franklin & Marshall College,"Lancaster, PA",Lancaster,PA,37,28038.0,1200-1420,1200.0,1420.0
215,216,Ouachita Baptist University,"Arkadelphia, AR",Arkadelphia,AR,62,20534.0,1060-1250,1060.0,1250.0
216,217,Temple University,"Philadelphia, PA",Philadelphia,PA,71,23254.0,1010-1230,1010.0,1230.0
217,218,Rollins College,"Winter Park, FL",Winter Park,FL,61,33216.0,1100-1290,1100.0,1290.0
218,219,"University of Maryland, Baltimore County","Baltimore, MD",Baltimore,MD,69,16868.0,1150-1350,1150.0,1350.0
219,220,University of Texas - Dallas,"Richardson, TX",Richardson,TX,79,11185.0,1220-1450,1220.0,1450.0
220,221,Hendrix College,"Conway, AR",Conway,AR,71,20778.0,1150-1360,1150.0,1360.0
221,222,Illinois Wesleyan University,"Bloomington, IL",Bloomington,IL,57,32545.0,1100-1300,1100.0,1300.0
222,223,University of Kentucky,"Lexington, KY",Lexington,KY,96,19831.0,1070-1280,1070.0,1280.0
223,224,Louisiana Tech University,"Ruston, LA",Ruston,LA,64,11630.0,1060-1260,1060.0,1260.0
224,225,Colorado State University,"Fort Collins, CO",Fort Collins,CO,84,17609.0,1070-1280,1070.0,1280.0
225,226,Thomas Jefferson University,"Philadelphia, PA",Philadelphia,PA,70,29255.0,1090-1270,1090.0,1270.0
226,227,"Stony Brook University, SUNY","Stony Brook, NY",Stony Brook,NY,49,16478.0,1230-1440,1230.0,1440.0
227,228,Marquette University,"Milwaukee, WI",Milwaukee,WI,82,34732.0,1160-1340,1160.0,1340.0
228,229,University of Illinois Chicago,"Chicago, IL",Chicago,IL,73,12614.0,1030-1250,1030.0,1250.0
