song_id,genre
036123d5-3f09-4170-89f6-4e06e5fa7233,singer/songwriter
036920e0-893a-42e8-8c4a-ab68db29dd8a,rock-opera
036920e0-893a-42e8-8c4a-ab68db29dd8a,crossover-prog
036920e0-893a-42e8-8c4a-ab68db29dd8a,symphonic-rock
036920e0-893a-42e8-8c4a-ab68db29dd8a,progressive-rock
036920e0-893a-42e8-8c4a-ab68db29dd8a,christmas-music
036920e0-893a-42e8-8c4a-ab68db29dd8a,symphonic-metal
0375a389-37c5-49e6-b548-f95f3ff4626f,funk
0375a389-37c5-49e6-b548-f95f3ff4626f,soul
0380a07c-34b0-4969-b2c7-7900f70d8273,rock
0380a07c-34b0-4969-b2c7-7900f70d8273,indie-rock
0380a07c-34b0-4969-b2c7-7900f70d8273,alternative-rock
038d61ff-f835-4e8e-8f21-35e437bf02f5,jazz
038d61ff-f835-4e8e-8f21-35e437bf02f5,r&b
038d61ff-f835-4e8e-8f21-35e437bf02f5,anthology
038d61ff-f835-4e8e-8f21-35e437bf02f5,pop
038d61ff-f835-4e8e-8f21-35e437bf02f5,swing
038d61ff-f835-4e8e-8f21-35e437bf02f5,traditional-pop
038d61ff-f835-4e8e-8f21-35e437bf02f5,standards
038d61ff-f835-4e8e-8f21-35e437bf02f5,vocal-jazz
038d61ff-f835-4e8e-8f21-35e437bf02f5,easy-listening
039326dc-e853-4de8-84c5-dd91c31d4256,pop
039326dc-e853-4de8-84c5-dd91c31d4256,r&b
039326dc-e853-4de8-84c5-dd91c31d4256,rnb
